Month,State,Loan_Commitments,Year
Oct,Northern Territory,40,2010
Nov,Northern Territory,43,2010
Dec,Northern Territory,43,2010
Jan,Northern Territory,45,2011
Feb,Northern Territory,41,2011
Mar,Northern Territory,68,2011
Apr,Northern Territory,49,2011
May,Northern Territory,51,2011
Jun,Northern Territory,59,2011
Jul,Northern Territory,57,2011
Aug,Northern Territory,60,2011
Sep,Northern Territory,59,2011
Oct,Northern Territory,62,2011
Nov,Northern Territory,54,2011
Dec,Northern Territory,65,2011
Jan,Northern Territory,67,2012
Feb,Northern Territory,74,2012
Mar,Northern Territory,86,2012
Apr,Northern Territory,75,2012
May,Northern Territory,73,2012
Jun,Northern Territory,73,2012
Jul,Northern Territory,77,2012
Aug,Northern Territory,72,2012
Sep,Northern Territory,66,2012
Oct,Northern Territory,76,2012
Nov,Northern Territory,86,2012
Dec,Northern Territory,88,2012
Jan,Northern Territory,104,2013
Feb,Northern Territory,69,2013
Mar,Northern Territory,58,2013
Apr,Northern Territory,56,2013
May,Northern Territory,67,2013
Jun,Northern Territory,52,2013
Jul,Northern Territory,71,2013
Aug,Northern Territory,52,2013
Sep,Northern Territory,50,2013
Oct,Northern Territory,57,2013
Nov,Northern Territory,59,2013
Dec,Northern Territory,51,2013
Jan,Northern Territory,50,2014
Feb,Northern Territory,68,2014
Mar,Northern Territory,61,2014
Apr,Northern Territory,71,2014
May,Northern Territory,72,2014
Jun,Northern Territory,70,2014
Jul,Northern Territory,70,2014
Aug,Northern Territory,71,2014
Sep,Northern Territory,93,2014
Oct,Northern Territory,98,2014
Nov,Northern Territory,77,2014
Dec,Northern Territory,83,2014
Jan,Northern Territory,80,2015
Feb,Northern Territory,53,2015
Mar,Northern Territory,53,2015
Apr,Northern Territory,44,2015
May,Northern Territory,34,2015
Jun,Northern Territory,48,2015
Jul,Northern Territory,32,2015
Aug,Northern Territory,36,2015
Sep,Northern Territory,33,2015
Oct,Northern Territory,27,2015
Nov,Northern Territory,35,2015
Dec,Northern Territory,31,2015
Jan,Northern Territory,43,2016
Feb,Northern Territory,36,2016
Mar,Northern Territory,40,2016
Apr,Northern Territory,43,2016
May,Northern Territory,42,2016
Jun,Northern Territory,43,2016
Jul,Northern Territory,57,2016
Aug,Northern Territory,47,2016
Sep,Northern Territory,38,2016
Oct,Northern Territory,37,2016
Nov,Northern Territory,43,2016
Dec,Northern Territory,43,2016
Jan,Northern Territory,30,2017
Feb,Northern Territory,50,2017
Mar,Northern Territory,57,2017
Apr,Northern Territory,58,2017
May,Northern Territory,51,2017
Jun,Northern Territory,67,2017
Jul,Northern Territory,58,2017
Aug,Northern Territory,60,2017
Sep,Northern Territory,72,2017
Oct,Northern Territory,71,2017
Nov,Northern Territory,46,2017
Dec,Northern Territory,61,2017
Jan,Northern Territory,65,2018
Feb,Northern Territory,64,2018
Mar,Northern Territory,51,2018
Apr,Northern Territory,55,2018
May,Northern Territory,64,2018
Jun,Northern Territory,60,2018
Jul,Northern Territory,56,2018
Aug,Northern Territory,45,2018
Sep,Northern Territory,89,2018
Oct,Northern Territory,62,2018
Nov,Northern Territory,76,2018
Dec,Northern Territory,79,2018
Jan,Northern Territory,64,2019
Feb,Northern Territory,61,2019
Mar,Northern Territory,76,2019
Apr,Northern Territory,122,2019
May,Northern Territory,90,2019
Jun,Northern Territory,70,2019
Jul,Northern Territory,71,2019
Aug,Northern Territory,71,2019
Sep,Northern Territory,64,2019
Oct,Northern Territory,70,2019
Nov,Northern Territory,53,2019
Dec,Northern Territory,68,2019
Jan,Northern Territory,66,2020
Feb,Northern Territory,66,2020
Mar,Northern Territory,89,2020
Apr,Northern Territory,72,2020
May,Northern Territory,65,2020
Jun,Northern Territory,85,2020
Jul,Northern Territory,102,2020
Aug,Northern Territory,102,2020
Sep,Northern Territory,111,2020
Oct,Northern Territory,112,2020
Nov,Northern Territory,127,2020
Dec,Northern Territory,98,2020
Jan,Northern Territory,119,2021
Feb,Northern Territory,151,2021
Mar,Northern Territory,129,2021
Apr,Northern Territory,119,2021
May,Northern Territory,106,2021
Jun,Northern Territory,142,2021
Jul,Northern Territory,111,2021
Aug,Northern Territory,90,2021
Sep,Northern Territory,77,2021
Oct,Northern Territory,72,2021
Nov,Northern Territory,89,2021
Dec,Northern Territory,71,2021
Jan,Northern Territory,66,2022
Feb,Northern Territory,62,2022
Mar,Northern Territory,62,2022
Apr,Northern Territory,58,2022
May,Northern Territory,71,2022
Jun,Northern Territory,77,2022
Jul,Northern Territory,77,2022
Aug,Northern Territory,84,2022
Sep,Northern Territory,82,2022
Oct,Northern Territory,72,2022
Nov,Northern Territory,60,2022
Dec,Northern Territory,63,2022
Jan,Northern Territory,74,2023
Feb,Northern Territory,70,2023
Mar,Northern Territory,78,2023
Apr,Northern Territory,70,2023
May,Northern Territory,65,2023
Jun,Northern Territory,46,2023
Jul,Northern Territory,50,2023
Aug,Northern Territory,55,2023
Sep,Northern Territory,50,2023
Oct,Northern Territory,69,2023
Nov,Northern Territory,66,2023
Dec,Northern Territory,72,2023
Jan,Northern Territory,51,2024
Feb,Northern Territory,62,2024
Mar,Northern Territory,54,2024
Apr,Northern Territory,88,2024
May,Northern Territory,66,2024
Jun,Northern Territory,60,2024
Jul,Northern Territory,52,2024
Aug,Northern Territory,53,2024
Aug,Australian Capital Territory,175,2006
Sep,Australian Capital Territory,183,2006
Oct,Australian Capital Territory,165,2006
Nov,Australian Capital Territory,181,2006
Dec,Australian Capital Territory,158,2006
Jan,Australian Capital Territory,139,2007
Feb,Australian Capital Territory,170,2007
Mar,Australian Capital Territory,166,2007
Apr,Australian Capital Territory,158,2007
May,Australian Capital Territory,137,2007
Jun,Australian Capital Territory,167,2007
Jul,Australian Capital Territory,157,2007
Aug,Australian Capital Territory,137,2007
Sep,Australian Capital Territory,139,2007
Oct,Australian Capital Territory,137,2007
Nov,Australian Capital Territory,140,2007
Dec,Australian Capital Territory,152,2007
Jan,Australian Capital Territory,149,2008
Feb,Australian Capital Territory,93,2008
Mar,Australian Capital Territory,126,2008
Apr,Australian Capital Territory,151,2008
May,Australian Capital Territory,110,2008
Jun,Australian Capital Territory,107,2008
Jul,Australian Capital Territory,109,2008
Aug,Australian Capital Territory,130,2008
Sep,Australian Capital Territory,122,2008
Oct,Australian Capital Territory,156,2008
Nov,Australian Capital Territory,150,2008
Dec,Australian Capital Territory,207,2008
Jan,Australian Capital Territory,227,2009
Feb,Australian Capital Territory,237,2009
Mar,Australian Capital Territory,266,2009
Apr,Australian Capital Territory,290,2009
May,Australian Capital Territory,296,2009
Jun,Australian Capital Territory,301,2009
Jul,Australian Capital Territory,247,2009
Aug,Australian Capital Territory,224,2009
Sep,Australian Capital Territory,265,2009
Oct,Australian Capital Territory,250,2009
Nov,Australian Capital Territory,200,2009
Dec,Australian Capital Territory,160,2009
Jan,Australian Capital Territory,124,2010
Feb,Australian Capital Territory,176,2010
Mar,Australian Capital Territory,142,2010
Apr,Australian Capital Territory,126,2010
May,Australian Capital Territory,115,2010
Jun,Australian Capital Territory,107,2010
Jul,Australian Capital Territory,119,2010
Aug,Australian Capital Territory,110,2010
Sep,Australian Capital Territory,114,2010
Oct,Australian Capital Territory,108,2010
Nov,Australian Capital Territory,116,2010
Dec,Australian Capital Territory,122,2010
Jan,Australian Capital Territory,102,2011
Feb,Australian Capital Territory,116,2011
Mar,Australian Capital Territory,88,2011
Apr,Australian Capital Territory,122,2011
May,Australian Capital Territory,115,2011
Jun,Australian Capital Territory,119,2011
Jul,Australian Capital Territory,114,2011
Aug,Australian Capital Territory,110,2011
Sep,Australian Capital Territory,108,2011
Oct,Australian Capital Territory,110,2011
Nov,Australian Capital Territory,133,2011
Dec,Australian Capital Territory,124,2011
Jan,Australian Capital Territory,127,2012
Feb,Australian Capital Territory,111,2012
Mar,Australian Capital Territory,112,2012
Apr,Australian Capital Territory,111,2012
May,Australian Capital Territory,124,2012
Jun,Australian Capital Territory,89,2012
Jul,Australian Capital Territory,139,2012
Aug,Australian Capital Territory,135,2012
Sep,Australian Capital Territory,120,2012
Oct,Australian Capital Territory,120,2012
Nov,Australian Capital Territory,112,2012
Dec,Australian Capital Territory,113,2012
Jan,Australian Capital Territory,133,2013
Feb,Australian Capital Territory,137,2013
Mar,Australian Capital Territory,135,2013
Apr,Australian Capital Territory,141,2013
May,Australian Capital Territory,140,2013
Jun,Australian Capital Territory,127,2013
Jul,Australian Capital Territory,141,2013
Aug,Australian Capital Territory,158,2013
Sep,Australian Capital Territory,161,2013
Oct,Australian Capital Territory,135,2013
Nov,Australian Capital Territory,132,2013
Dec,Australian Capital Territory,140,2013
Jan,Australian Capital Territory,130,2014
Feb,Australian Capital Territory,142,2014
Mar,Australian Capital Territory,146,2014
Apr,Australian Capital Territory,120,2014
May,Australian Capital Territory,128,2014
Jun,Australian Capital Territory,143,2014
Jul,Australian Capital Territory,144,2014
Aug,Australian Capital Territory,149,2014
Sep,Australian Capital Territory,156,2014
Oct,Australian Capital Territory,190,2014
Nov,Australian Capital Territory,158,2014
Dec,Australian Capital Territory,162,2014
Jan,Australian Capital Territory,167,2015
Feb,Australian Capital Territory,164,2015
Mar,Australian Capital Territory,152,2015
Apr,Australian Capital Territory,170,2015
May,Australian Capital Territory,165,2015
Jun,Australian Capital Territory,161,2015
Jul,Australian Capital Territory,133,2015
Aug,Australian Capital Territory,126,2015
Sep,Australian Capital Territory,150,2015
Oct,Australian Capital Territory,124,2015
Nov,Australian Capital Territory,155,2015
Dec,Australian Capital Territory,140,2015
Jan,Australian Capital Territory,156,2016
Feb,Australian Capital Territory,145,2016
Mar,Australian Capital Territory,141,2016
Apr,Australian Capital Territory,148,2016
May,Australian Capital Territory,156,2016
Jun,Australian Capital Territory,152,2016
Jul,Australian Capital Territory,149,2016
Aug,Australian Capital Territory,130,2016
Sep,Australian Capital Territory,115,2016
Oct,Australian Capital Territory,124,2016
Nov,Australian Capital Territory,128,2016
Dec,Australian Capital Territory,148,2016
Jan,Australian Capital Territory,188,2017
Feb,Australian Capital Territory,106,2017
Mar,Australian Capital Territory,119,2017
Apr,Australian Capital Territory,170,2017
May,Australian Capital Territory,172,2017
Jun,Australian Capital Territory,217,2017
Jul,Australian Capital Territory,212,2017
Aug,Australian Capital Territory,231,2017
Sep,Australian Capital Territory,220,2017
Oct,Australian Capital Territory,225,2017
Nov,Australian Capital Territory,229,2017
Dec,Australian Capital Territory,199,2017
Jan,Australian Capital Territory,207,2018
Feb,Australian Capital Territory,305,2018
Mar,Australian Capital Territory,233,2018
Apr,Australian Capital Territory,224,2018
May,Australian Capital Territory,156,2018
Jun,Australian Capital Territory,169,2018
Jul,Australian Capital Territory,165,2018
Aug,Australian Capital Territory,172,2018
Sep,Australian Capital Territory,175,2018
Oct,Australian Capital Territory,202,2018
Nov,Australian Capital Territory,224,2018
Dec,Australian Capital Territory,164,2018
Jan,Australian Capital Territory,136,2019
Feb,Australian Capital Territory,140,2019
Mar,Australian Capital Territory,153,2019
Apr,Australian Capital Territory,129,2019
May,Australian Capital Territory,144,2019
Jun,Australian Capital Territory,146,2019
Jul,Australian Capital Territory,186,2019
Aug,Australian Capital Territory,192,2019
Sep,Australian Capital Territory,205,2019
Oct,Australian Capital Territory,214,2019
Nov,Australian Capital Territory,231,2019
Dec,Australian Capital Territory,242,2019
Jan,Australian Capital Territory,221,2020
Feb,Australian Capital Territory,241,2020
Mar,Australian Capital Territory,218,2020
Apr,Australian Capital Territory,246,2020
May,Australian Capital Territory,240,2020
Jun,Australian Capital Territory,229,2020
Jul,Australian Capital Territory,240,2020
Aug,Australian Capital Territory,264,2020
Sep,Australian Capital Territory,302,2020
Oct,Australian Capital Territory,301,2020
Nov,Australian Capital Territory,263,2020
Dec,Australian Capital Territory,332,2020
Jan,Australian Capital Territory,343,2021
Feb,Australian Capital Territory,288,2021
Mar,Australian Capital Territory,319,2021
Apr,Australian Capital Territory,298,2021
May,Australian Capital Territory,283,2021
Jun,Australian Capital Territory,320,2021
Jul,Australian Capital Territory,324,2021
Aug,Australian Capital Territory,282,2021
Sep,Australian Capital Territory,250,2021
Oct,Australian Capital Territory,231,2021
Nov,Australian Capital Territory,264,2021
Dec,Australian Capital Territory,268,2021
Jan,Australian Capital Territory,313,2022
Feb,Australian Capital Territory,201,2022
Mar,Australian Capital Territory,291,2022
Apr,Australian Capital Territory,305,2022
May,Australian Capital Territory,329,2022
Jun,Australian Capital Territory,284,2022
Jul,Australian Capital Territory,296,2022
Aug,Australian Capital Territory,314,2022
Sep,Australian Capital Territory,272,2022
Oct,Australian Capital Territory,274,2022
Nov,Australian Capital Territory,215,2022
Dec,Australian Capital Territory,204,2022
Jan,Australian Capital Territory,252,2023
Feb,Australian Capital Territory,264,2023
Mar,Australian Capital Territory,242,2023
Apr,Australian Capital Territory,236,2023
May,Australian Capital Territory,259,2023
Jun,Australian Capital Territory,278,2023
Jul,Australian Capital Territory,204,2023
Aug,Australian Capital Territory,218,2023
Sep,Australian Capital Territory,241,2023
Oct,Australian Capital Territory,252,2023
Nov,Australian Capital Territory,285,2023
Dec,Australian Capital Territory,236,2023
Jan,Australian Capital Territory,228,2024
Feb,Australian Capital Territory,241,2024
Mar,Australian Capital Territory,244,2024
Apr,Australian Capital Territory,232,2024
May,Australian Capital Territory,229,2024
Jun,Australian Capital Territory,253,2024
Jul,Australian Capital Territory,220,2024
Aug,Australian Capital Territory,207,2024
